2018-12-17 17:54:21 [restartedMain]  INFO o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext -Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@9051c79: startup date [Mon Dec 17 17:54:21 CST 2018]; root of context hierarchy
2018-12-17 17:54:24 [restartedMain]  INFO o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$326eaa77] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-12-17 17:54:26 [restartedMain]  INFO o.s.b.w.e.tomcat.TomcatWebServer -Tomcat initialized with port(s): 8080 (http)
2018-12-17 17:54:26 [restartedMain]  INFO o.a.coyote.http11.Http11NioProtocol -Initializing ProtocolHandler ["http-nio-8080"]
2018-12-17 17:54:26 [restartedMain]  INFO o.a.catalina.core.StandardService -Starting service [Tomcat]
2018-12-17 17:54:26 [restartedMain]  INFO o.a.catalina.core.StandardEngine -Starting Servlet Engine: Apache Tomcat/8.5.34
2018-12-17 17:54:26 [localhost-startStop-1]  INFO o.a.c.core.AprLifecycleListener -The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_131\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files\Java\jdk1.8.0_131\jre\bin;D:\app\yangft\product\11.2.0\client_1\bin;D:\app\yangft\product\11.2.0\dbhome_3\bin;D:\app\yangft\product\11.2.0\dbhome_2\bin;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Java\jdk1.8.0_131\bin;D:\apache-maven-3.5.0\bin;D:\apache-ant-1.10.1\bin;D:\mysql-5.7.18-winx64\bin;C:\Program Files\TortoiseSVN\bin;C:\Program Files (x86)\Git\cmd;C:\Program Files (x86)\HP\IdrsOCR_15.2.10.1114\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;C:\Users\yangft\AppData\Local\Microsoft\WindowsApps;;C:\Program Files (x86)\SSH Communications Security\SSH Secure Shell;.]
2018-12-17 17:54:26 [localhost-startStop-1]  INFO o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
2018-12-17 17:54:26 [localhost-startStop-1]  INFO o.s.web.context.ContextLoader -Root WebApplicationContext: initialization completed in 4742 ms
2018-12-17 17:54:26 [localhost-startStop-1]  INFO o.s.b.w.s.ServletRegistrationBean -Servlet dispatcherServlet mapped to [/]
2018-12-17 17:54:26 [localhost-startStop-1]  INFO o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'characterEncodingFilter' to: [/*]
2018-12-17 17:54:26 [localhost-startStop-1]  INFO o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-12-17 17:54:26 [localhost-startStop-1]  INFO o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-12-17 17:54:26 [localhost-startStop-1]  INFO o.s.b.w.s.FilterRegistrationBean -Mapping filter: 'requestContextFilter' to: [/*]
2018-12-17 17:54:27 [restartedMain]  INFO o.s.o.j.LocalContainerEntityManagerFactoryBean -Building JPA container EntityManagerFactory for persistence unit 'default'
2018-12-17 17:54:27 [restartedMain]  INFO o.h.jpa.internal.util.LogHelper -HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2018-12-17 17:54:27 [restartedMain]  INFO org.hibernate.Version -HHH000412: Hibernate Core {5.2.17.Final}
2018-12-17 17:54:27 [restartedMain]  INFO org.hibernate.cfg.Environment -HHH000206: hibernate.properties not found
2018-12-17 17:54:27 [restartedMain]  INFO o.h.annotations.common.Version -HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2018-12-17 17:54:27 [restartedMain]  INFO com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Starting...
2018-12-17 17:54:28 [restartedMain]  INFO com.zaxxer.hikari.pool.PoolBase -HikariPool-1 - Driver does not support get/set network timeout for connections. (com.mysql.jdbc.JDBC4Connection.getNetworkTimeout()I)
2018-12-17 17:54:28 [restartedMain]  INFO com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Start completed.
2018-12-17 17:54:28 [restartedMain]  INFO org.hibernate.dialect.Dialect -HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2018-12-17 17:54:29 [restartedMain]  WARN org.hibernate.id.UUIDHexGenerator -HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
2018-12-17 17:54:30 [restartedMain]  INFO o.h.h.i.QueryTranslatorFactoryInitiator -HHH000397: Using ASTQueryTranslatorFactory
2018-12-17 17:54:30 [restartedMain]  INFO o.s.o.j.LocalContainerEntityManagerFactoryBean -Initialized JPA EntityManagerFactory for persistence unit 'default'
